tarih,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22
2009-08-06,3,8,11,12,13,16,17,25,27,31,32,34,35,49,51,53,58,59,62,63,74,77
2009-08-10,3,7,16,17,21,22,24,25,34,39,40,46,48,54,55,58,69,70,72,75,76,80
2009-08-13,2,5,13,15,18,27,31,35,37,41,42,43,51,52,54,58,60,62,67,69,75,77
2009-08-17,7,8,9,18,20,21,30,35,41,42,47,49,50,56,57,59,60,61,69,72,73,74
2009-08-20,4,15,16,18,19,22,23,26,27,32,38,40,43,47,52,58,66,68,69,72,73,77
2009-08-24,8,9,16,18,21,25,29,31,38,45,49,53,57,59,65,67,68,69,71,77,78,79
2009-08-27,1,20,21,25,26,31,36,37,43,45,49,51,54,55,62,65,70,72,74,75,77,78
2009-08-31,1,5,6,9,12,14,15,16,17,23,28,30,37,46,50,54,58,64,68,69,72,75
2009-09-03,3,6,9,10,13,18,25,26,45,46,50,55,56,62,63,64,65,67,68,70,72,77
2009-09-07,6,11,20,25,26,28,29,41,42,51,53,54,56,57,59,61,62,68,72,73,74,77
2009-09-10,2,4,12,18,20,24,25,28,30,31,34,41,46,47,48,49,52,60,67,69,75,77
2009-09-14,3,6,10,11,13,19,20,35,37,40,43,44,47,49,53,54,55,63,66,68,69,79
2009-09-17,2,11,17,28,30,37,40,44,47,48,49,51,52,62,63,64,65,68,72,77,78,80
2009-09-21,3,5,13,14,16,21,24,27,30,34,35,37,41,42,47,52,53,55,58,59,69,78
2009-09-24,9,14,15,19,20,23,24,25,29,31,32,33,35,38,40,42,52,58,69,74,78,80
2009-09-28,1,2,10,12,13,18,19,27,35,37,38,40,42,56,60,63,69,70,72,73,74,79
2009-10-01,5,6,12,16,17,20,21,22,28,33,34,36,37,39,47,48,52,56,62,67,70,78
2009-10-05,1,7,10,16,17,19,24,26,28,30,38,40,43,45,49,51,53,58,62,67,69,71
2009-10-08,1,4,8,15,25,26,27,30,31,35,40,44,50,55,58,59,62,63,67,72,77,80
2009-10-12,7,12,13,16,21,22,24,25,35,39,43,49,50,51,54,56,59,60,62,66,74,75
2009-10-15,6,8,12,15,21,22,24,27,28,30,36,39,42,43,49,63,64,67,71,76,78,79
2009-10-19,4,11,13,14,16,17,21,22,35,36,39,40,44,60,61,67,68,69,72,73,79,80
2009-10-22,2,6,7,9,15,22,27,34,35,37,40,41,44,46,51,53,57,60,70,71,72,77
2009-10-26,3,6,8,14,16,18,26,30,35,40,42,46,48,50,56,61,62,68,70,74,79,80
2009-10-29,3,8,16,18,25,29,31,33,36,37,40,44,49,51,52,55,57,61,62,64,68,72
2009-11-02,7,10,14,17,18,26,27,30,36,48,52,53,54,57,59,60,64,66,67,68,70,80
2009-11-05,3,6,9,13,18,27,32,33,39,40,41,47,53,61,64,67,69,71,72,74,79,80
2009-11-09,1,9,10,15,17,18,25,31,34,36,38,41,43,45,46,49,53,62,63,71,75,80
2009-11-12,4,7,9,19,24,30,31,32,33,38,41,42,47,52,53,56,65,68,70,72,77,78
2009-11-16,1,3,4,6,9,10,14,15,17,29,30,34,38,48,49,50,56,60,65,67,72,79
2009-11-19,4,6,7,8,11,12,18,20,21,28,32,33,35,42,45,46,47,52,59,72,78,79
2009-11-23,4,5,6,7,18,22,25,28,31,32,36,38,43,50,52,53,58,67,73,74,76,78
2009-11-26,2,12,13,18,19,20,23,25,28,30,32,33,39,41,52,53,54,57,65,70,73,77
2009-11-30,9,13,19,21,22,25,30,33,35,42,43,49,51,57,59,60,66,70,73,75,76,79
2009-12-03,2,5,15,17,19,23,25,27,28,30,36,39,41,42,46,68,71,72,73,77,78,79
2009-12-07,2,3,5,13,22,27,31,32,37,38,45,49,53,54,55,61,63,70,71,72,73,74
2009-12-10,3,5,6,10,14,15,16,21,25,26,29,30,38,39,42,44,45,46,54,64,67,69
2009-12-14,2,9,10,19,20,22,24,25,29,31,34,40,50,52,59,63,68,70,74,77,79,80
2009-12-17,7,8,13,15,23,24,27,33,42,43,46,48,49,52,53,54,58,60,65,68,75,79
2009-12-21,8,20,23,24,30,31,33,36,37,43,46,47,49,58,59,67,70,71,73,74,78,80
2009-12-24,1,8,10,13,15,19,21,22,25,27,32,34,43,49,53,55,57,68,71,74,76,79
2009-12-28,3,13,19,20,21,25,27,29,35,43,46,47,53,55,58,65,66,68,71,74,75,80
2009-12-31,4,6,14,21,29,30,31,40,43,45,46,48,49,53,59,60,68,69,70,72,78,79
2010-01-04,4,7,9,12,16,18,22,27,33,38,43,44,49,54,60,63,65,68,70,75,79,80
2010-01-07,6,18,31,36,38,39,41,42,45,49,52,56,59,61,62,65,67,75,76,77,78,79
2010-01-11,1,7,8,16,18,20,21,25,28,34,44,46,50,53,56,57,59,64,65,71,76,80
2010-01-14,2,3,5,9,17,21,24,25,28,29,34,37,38,46,51,52,58,59,68,72,74,79
2010-01-18,7,11,12,16,17,25,28,29,38,43,46,47,48,53,61,64,66,67,69,72,77,79
2010-01-21,2,8,12,17,20,22,27,30,37,38,43,46,49,51,52,53,54,65,72,75,77,78
2010-01-25,2,12,22,29,31,32,36,38,42,44,45,46,47,48,51,53,58,60,61,64,67,78
2010-01-28,3,17,23,25,26,27,30,32,34,41,42,50,53,55,57,62,66,68,73,74,76,77
2010-02-01,1,3,4,8,9,10,11,14,18,20,22,25,28,34,37,39,55,56,57,60,62,67
2010-02-04,4,6,9,15,18,19,21,22,25,26,28,32,36,44,49,59,60,61,62,67,69,79
2010-02-08,5,7,9,12,16,17,19,20,21,26,30,38,43,44,45,49,60,67,68,75,77,80
2010-02-11,2,4,6,10,14,15,18,24,25,27,29,33,42,47,48,52,55,59,61,63,73,74
2010-02-15,2,4,5,6,12,13,15,25,27,28,30,32,35,37,39,44,46,51,53,58,71,74
2010-02-18,2,4,6,12,15,17,18,19,29,30,41,43,49,52,57,58,60,65,68,74,75,76
2010-02-22,4,9,14,17,18,22,23,31,33,34,40,42,49,60,66,68,69,72,73,74,76,79
2010-02-25,4,6,12,15,16,33,36,39,40,41,44,47,53,58,62,67,68,71,74,75,76,79
2010-03-01,1,15,21,24,25,27,28,33,34,38,42,44,49,53,56,58,60,61,63,72,73,78
2010-03-04,5,14,22,26,28,34,36,37,40,45,48,49,51,58,62,63,66,67,68,69,73,77
2010-03-08,1,7,9,17,18,27,29,33,35,36,42,44,49,55,62,63,65,66,67,69,72,74
2010-03-11,1,15,18,28,31,32,36,42,43,44,47,50,53,55,56,61,62,64,66,73,78,80
2010-03-15,1,3,7,9,13,15,21,25,31,33,35,36,38,39,46,47,49,53,64,66,69,73
2010-03-18,3,8,16,17,20,22,24,25,26,30,35,38,40,43,50,51,57,58,62,65,72,73
2010-03-22,3,8,16,20,24,28,29,30,31,32,34,35,47,49,52,57,60,61,63,65,70,74
2010-03-25,1,3,8,13,17,18,19,20,22,27,28,29,30,32,33,34,38,46,50,61,68,70
2010-03-29,6,15,17,23,25,33,35,36,43,47,49,52,53,54,60,62,66,71,74,76,78,79
2010-04-01,2,5,13,14,17,18,20,27,30,32,36,41,47,61,62,67,70,71,75,77,78,80
2010-04-05,2,9,11,12,13,14,21,25,27,36,42,43,46,49,50,53,57,67,72,75,78,79
2010-04-08,1,2,12,31,32,33,34,37,43,47,49,53,54,58,59,66,69,70,73,74,78,79
2010-04-12,3,11,12,13,14,20,23,28,31,33,37,38,39,50,54,63,64,69,70,77,78,79
2010-04-15,3,12,14,22,25,26,28,33,36,39,42,44,47,49,51,52,54,60,67,72,74,75
2010-04-19,3,5,9,18,19,24,25,32,36,40,50,52,54,58,59,61,62,64,66,72,73,76
2010-04-22,2,5,6,8,15,20,23,24,25,35,38,40,41,43,47,49,50,52,58,63,78,79
2010-04-26,2,6,10,11,12,15,16,20,21,24,25,26,32,40,41,47,49,60,64,66,68,69
2010-04-29,1,3,4,8,16,17,22,25,35,36,37,38,41,44,50,59,61,64,65,68,72,78
2010-05-03,3,9,18,27,36,38,40,43,44,47,49,53,54,55,56,61,63,64,72,75,78,79
2010-05-06,1,4,16,17,22,30,33,34,35,42,43,44,48,49,51,55,58,64,70,72,78,79
2010-05-10,8,12,14,18,32,35,37,38,41,44,46,49,53,56,61,63,65,66,68,70,75,76
2010-05-13,2,6,12,13,15,21,22,26,29,31,33,34,46,47,48,49,53,56,58,60,61,78
2010-05-17,1,2,3,4,5,6,7,8,10,24,28,35,37,38,43,55,58,60,62,68,75,79
2010-05-20,2,3,7,11,12,16,20,21,23,25,30,35,38,43,51,59,60,61,63,67,71,79
2010-05-24,1,3,8,9,10,25,26,31,35,44,46,50,54,56,58,62,67,70,73,74,77,79
2010-05-27,7,8,12,17,19,22,27,32,37,40,44,46,47,49,50,53,57,58,65,71,73,75
2010-05-31,3,6,12,13,22,30,34,36,37,38,41,42,43,56,57,60,66,71,72,75,78,80
2010-06-03,2,9,15,17,20,24,27,29,30,31,33,42,43,47,49,51,54,60,62,63,70,76
2010-06-07,2,5,14,15,17,22,25,26,32,38,46,47,48,50,54,58,59,62,67,68,78,79
2010-06-10,6,11,16,18,24,28,29,33,34,44,52,53,54,55,62,64,66,69,74,76,79,80
2010-06-14,2,16,17,19,22,23,25,26,29,32,39,43,48,49,55,60,62,64,70,71,72,80
2010-06-17,1,4,10,11,15,17,18,23,27,30,33,36,42,44,45,52,57,62,65,70,75,77
2010-06-21,4,8,9,13,17,18,22,25,29,35,49,51,53,54,58,59,64,66,70,71,72,78
2010-06-24,2,4,8,19,23,27,28,29,32,35,36,38,40,46,47,51,53,61,63,69,77,79
2010-06-28,1,3,4,6,11,13,17,22,23,25,26,34,38,39,41,42,43,50,62,63,68,69
2010-07-01,12,13,14,17,18,22,26,28,31,35,38,39,49,54,56,57,58,64,70,71,72,78
2010-07-05,12,13,17,19,21,22,23,27,33,43,44,48,51,53,54,64,67,69,73,75,77,78
2010-07-08,3,6,16,20,21,24,27,28,32,34,36,40,47,52,57,59,62,67,71,72,73,78
2010-07-12,3,4,9,11,13,16,21,27,30,32,35,39,43,44,58,59,61,64,68,71,78,79
2010-07-15,4,5,12,15,19,20,25,31,32,34,35,39,43,46,50,52,54,59,62,65,69,75
2010-07-19,5,10,13,19,23,26,29,30,31,33,36,45,46,49,51,55,58,59,61,69,73,74
2010-07-22,8,10,11,15,24,34,35,36,37,42,45,47,48,49,57,59,60,68,71,77,78,79
2010-07-26,4,5,15,16,17,20,36,39,40,41,53,58,62,66,67,68,69,71,73,76,77,78
2010-07-29,1,2,4,5,8,10,20,24,25,27,32,35,44,45,46,49,59,65,70,74,75,76
2010-08-02,6,7,13,22,31,36,41,42,44,47,49,53,55,57,59,61,62,63,65,70,71,74
2010-08-05,3,4,5,7,8,10,13,17,20,28,31,35,36,38,42,48,52,54,55,66,71,72
2010-08-09,9,15,17,25,26,29,31,34,38,42,46,47,49,54,55,56,58,62,63,65,76,77
2010-08-12,3,12,13,22,27,32,33,39,42,45,47,49,51,55,56,58,60,61,63,66,72,77
2010-08-16,2,3,12,13,14,15,18,20,23,25,29,37,48,49,51,53,54,60,68,69,75,79
2010-08-19,16,20,22,27,28,32,35,37,39,40,42,50,52,57,59,65,66,67,70,72,79,80
2010-08-23,1,2,3,5,7,12,15,22,24,26,29,30,40,44,45,46,72,73,77,78,79,80
2010-08-26,7,12,13,24,25,29,30,32,37,39,40,46,53,63,65,67,68,69,71,75,78,80
2010-08-30,1,3,7,11,15,18,24,25,34,35,36,46,48,51,58,59,61,62,63,66,73,74
2010-09-02,21,22,27,32,37,38,41,44,45,47,48,49,50,56,59,63,69,71,72,73,77,78
2010-09-06,1,4,6,9,10,15,16,17,18,20,23,31,37,39,51,53,54,55,58,68,70,73
2010-09-09,4,10,12,14,15,18,20,26,29,30,31,36,41,42,44,48,49,57,58,69,70,76
2010-09-13,4,28,29,30,34,36,37,38,44,45,47,50,55,61,62,65,66,67,70,74,77,79
2010-09-16,2,17,20,28,29,33,34,40,42,52,54,56,57,58,65,66,69,71,72,73,74,80
2010-09-20,6,7,13,20,22,26,28,29,31,38,40,45,47,50,52,54,60,61,66,67,74,79
2010-09-23,6,7,8,16,20,26,27,30,37,40,41,43,50,53,54,59,61,63,66,68,70,72
2010-09-27,2,3,4,10,11,17,21,22,25,26,33,34,47,53,56,60,63,64,71,75,76,78
2010-09-30,1,8,10,16,17,23,28,29,30,32,35,37,38,46,49,52,53,59,62,68,74,80
2010-10-04,5,10,14,15,25,27,31,33,39,44,48,51,58,59,63,64,66,70,72,73,76,78
2010-10-07,1,6,12,16,23,28,29,31,32,40,42,44,47,48,49,50,55,57,60,66,73,79
2010-10-11,11,14,19,22,25,27,32,35,36,39,42,46,47,49,52,53,60,62,65,67,68,71
2010-10-14,2,11,13,15,17,19,25,27,28,38,43,47,49,53,56,57,59,61,62,68,70,71
2010-10-18,10,12,14,20,21,23,34,39,44,46,48,51,55,56,61,63,65,67,72,73,74,77
2010-10-21,14,18,23,25,28,31,37,38,41,46,49,50,51,52,54,55,58,69,70,74,75,79
2010-10-25,7,12,22,23,25,33,36,38,44,46,48,52,55,57,63,65,67,70,74,75,77,79
2010-10-28,2,3,4,10,15,18,23,24,25,26,27,30,41,46,49,54,62,65,67,70,73,78
2010-11-01,2,6,12,14,15,16,17,26,37,46,47,48,52,53,57,58,59,62,65,69,71,77
2010-11-04,1,4,8,9,13,18,19,29,32,33,39,43,47,48,49,50,51,56,58,64,65,79
2010-11-08,5,10,11,14,15,18,19,25,27,33,37,38,48,53,56,57,61,62,68,69,72,80
2010-11-11,2,3,4,6,13,20,23,24,41,45,49,52,54,56,57,58,60,65,66,68,73,74
2010-11-15,10,12,18,20,24,25,27,36,40,41,42,43,47,51,53,58,59,69,76,77,78,79
2010-11-18,1,3,4,8,12,19,20,21,24,25,28,31,34,37,38,44,63,67,69,71,77,80
2010-11-22,2,8,15,20,25,27,33,36,41,46,47,54,60,61,62,63,65,66,69,72,75,77
2010-11-25,4,6,7,21,22,23,30,41,42,43,45,48,49,51,52,57,61,62,67,71,78,80
2010-11-29,1,2,9,10,12,20,31,36,49,53,56,58,60,62,64,66,67,68,75,78,79,80
2010-12-02,2,4,15,16,23,24,27,31,33,45,47,57,60,63,65,66,68,70,77,78,79,80
2010-12-06,4,8,9,13,15,16,17,21,23,34,35,37,39,47,50,52,56,60,64,66,72,80
2010-12-09,2,4,6,12,14,18,24,25,30,34,36,38,39,49,52,54,58,68,71,72,76,77
2010-12-13,1,2,3,4,12,16,25,36,46,47,49,50,54,56,59,60,66,67,68,72,73,78
2010-12-16,3,6,20,23,27,30,31,33,34,35,38,39,44,52,55,57,61,66,71,72,75,77
2010-12-20,4,6,16,24,28,36,38,40,41,48,53,56,57,63,65,69,72,73,75,76,77,78
2010-12-23,3,4,8,18,20,22,27,28,35,37,39,41,50,53,55,57,58,67,68,69,75,78
2010-12-27,1,12,15,16,18,20,22,31,38,42,43,44,50,54,55,58,61,64,66,69,72,76
2010-12-30,7,8,14,15,16,20,21,24,29,33,39,41,46,49,52,59,62,65,69,70,77,79
2011-01-03,1,4,9,15,22,27,33,36,38,44,48,50,51,52,53,58,62,64,68,70,73,79
2011-01-06,15,21,28,32,35,36,38,39,40,41,42,43,54,55,59,61,65,66,68,73,75,77
2011-01-10,7,10,13,15,20,21,24,29,32,33,35,37,38,42,43,53,58,61,70,73,74,80
2011-01-13,12,15,16,17,21,31,32,36,40,41,42,46,47,49,53,55,59,60,63,69,73,78
2011-01-17,6,10,15,16,20,21,23,34,38,40,41,43,44,47,52,59,60,62,65,67,73,76
2011-01-20,1,11,13,17,23,24,27,35,39,41,42,46,47,49,57,59,61,62,63,64,70,72
2011-01-24,4,6,15,21,22,25,28,33,36,41,43,44,50,51,69,71,72,73,75,78,79,80
2011-01-27,3,12,13,16,20,22,27,28,34,35,36,40,48,49,54,58,60,65,66,71,76,79
2011-01-31,4,8,16,20,21,24,26,30,35,37,38,39,43,46,47,51,57,58,60,62,75,79
2011-02-03,12,19,21,22,23,25,28,30,33,35,37,39,40,43,44,49,53,54,61,68,72,80
2011-02-07,12,14,15,19,21,22,24,32,34,35,44,49,53,54,57,59,62,66,67,69,71,73
2011-02-10,2,4,6,20,25,28,30,36,38,41,44,45,48,49,51,58,60,66,67,77,79,80
2011-02-14,3,8,10,15,18,20,29,36,38,39,40,43,45,46,48,53,56,57,59,61,71,72
2011-02-17,8,10,22,23,25,30,33,35,38,40,43,44,49,51,52,53,54,62,64,67,68,75
2011-02-21,2,3,8,13,27,28,29,35,42,44,46,47,49,50,51,55,56,58,61,74,75,76
2011-02-24,12,16,17,19,22,29,31,32,36,40,48,50,52,53,54,61,64,65,66,68,71,78
2011-02-28,14,15,16,18,22,23,25,28,29,33,38,43,47,52,53,66,69,71,74,76,78,80
2011-03-03,2,4,5,9,14,15,17,19,25,27,31,35,42,44,46,53,55,60,61,71,73,80
2011-03-07,1,7,11,13,14,17,20,34,36,37,38,39,47,52,59,60,61,67,69,71,74,79
2011-03-10,1,2,7,8,9,10,11,17,18,26,27,35,36,51,53,60,62,65,72,73,75,78
2011-03-14,3,4,6,7,10,13,31,35,36,39,43,46,48,49,55,57,58,59,60,70,75,78
2011-03-17,2,8,11,15,16,17,20,21,25,28,39,42,43,47,48,49,56,57,59,64,70,71
2011-03-21,16,17,21,23,24,30,31,37,40,42,44,49,52,54,57,65,66,67,68,72,75,78
2011-03-24,7,10,12,16,18,20,21,31,32,36,41,46,51,52,53,61,63,65,66,71,74,79
2011-03-28,3,12,15,17,21,24,29,33,34,36,37,40,41,42,44,49,56,60,66,70,76,78
2011-03-31,8,9,13,15,22,24,29,30,35,39,44,46,48,50,52,57,59,60,63,66,72,78
2011-04-04,7,14,17,24,28,29,36,38,42,43,44,46,50,51,52,55,59,65,66,70,78,80
2011-04-07,2,6,7,8,15,17,18,21,22,27,30,34,37,40,43,45,47,53,55,60,77,79
2011-04-11,1,3,8,9,13,21,22,23,27,28,32,40,41,47,52,60,62,68,69,71,73,76
2011-04-14,4,8,9,11,13,19,26,27,30,41,44,46,47,49,52,57,58,61,62,64,70,79
2011-04-18,1,2,3,7,10,21,23,29,32,33,35,37,41,42,48,53,57,60,63,66,69,72
2011-04-21,1,2,3,5,10,13,15,16,17,21,39,40,50,54,56,57,58,67,72,74,76,79
2011-04-25,6,7,9,10,14,16,20,26,28,30,31,32,40,45,46,50,56,57,68,69,75,80
2011-04-28,3,6,11,13,19,21,22,23,30,31,32,33,34,44,45,49,52,53,57,62,67,69
2011-05-02,1,3,4,12,14,16,23,26,28,34,37,38,41,47,49,53,59,62,68,72,73,74
2011-05-05,1,3,4,20,21,23,25,29,30,35,36,49,50,51,53,60,61,64,70,73,75,79
2011-05-09,4,6,13,20,25,28,30,34,44,46,48,49,53,57,59,60,61,71,75,76,77,80
2011-05-12,15,16,21,23,24,26,28,30,35,36,41,46,47,48,49,59,61,62,66,70,75,78
2011-05-16,3,15,17,18,19,22,32,33,35,36,43,49,51,53,55,60,63,64,68,77,79,80
2011-05-19,2,6,7,14,18,20,23,25,26,27,29,32,33,35,36,38,42,44,67,73,75,79
2011-05-23,4,7,9,20,23,25,31,32,34,39,41,43,46,48,55,56,66,67,68,75,77,79
2011-05-26,3,7,8,10,12,15,17,20,21,28,30,36,44,48,49,53,55,58,61,66,67,74
2011-05-30,13,14,19,22,23,30,31,32,34,36,38,49,50,52,55,56,65,66,68,76,79,80
2011-06-02,2,12,16,18,25,29,39,40,44,47,48,49,51,57,59,60,61,69,70,74,75,79
2011-06-06,2,4,5,6,20,27,30,32,33,36,39,40,42,46,53,55,59,63,67,69,70,76
2011-06-09,6,9,15,16,17,22,25,26,27,37,38,39,47,51,53,60,63,64,70,74,77,78
2011-06-13,3,7,13,14,16,18,22,24,27,31,32,34,37,46,49,54,58,59,62,68,69,73
2011-06-16,2,8,10,11,15,17,22,24,25,33,40,44,49,50,54,56,58,68,69,72,77,79
2011-06-20,3,4,5,11,16,22,27,30,31,32,34,45,47,48,52,58,68,69,71,72,75,78
2011-06-23,2,7,8,13,16,18,20,23,27,28,30,36,39,42,44,47,50,52,54,65,74,75
2011-06-27,3,5,12,15,16,19,24,26,27,28,29,31,33,35,39,47,48,49,50,52,56,59
2011-06-30,1,7,12,16,21,24,34,36,40,41,42,44,45,46,50,53,54,57,58,65,74,76
2011-07-04,1,10,20,22,23,24,26,31,35,37,39,40,41,48,51,55,60,61,73,75,77,78
2011-07-07,5,6,8,18,23,25,27,29,36,37,39,40,46,50,54,55,58,63,69,77,78,80
2011-07-11,2,6,9,22,23,24,27,28,30,34,36,37,39,40,47,59,66,71,72,74,76,79
2011-07-14,1,13,19,25,26,27,29,32,33,36,40,49,52,53,54,55,56,62,65,68,74,78
2011-07-18,3,6,9,12,15,17,18,28,30,33,34,36,40,41,42,46,47,56,61,69,74,76
2011-07-21,1,2,3,9,15,18,20,25,40,45,49,51,54,55,57,58,59,65,70,72,74,80
2011-07-25,5,6,26,28,29,35,39,42,45,46,48,50,53,56,68,69,70,71,73,74,78,79
2011-07-28,1,13,17,21,25,29,31,34,35,37,38,46,47,48,51,53,58,62,64,70,71,78
2011-08-01,3,4,8,14,16,20,24,26,27,30,31,35,37,44,46,51,54,57,63,65,70,78
2011-08-04,1,2,3,4,15,17,30,34,37,38,41,42,45,49,51,53,68,70,71,74,77,79
2011-08-08,5,15,28,36,40,44,45,49,51,52,53,57,58,65,66,68,69,70,71,72,75,79
2011-08-11,3,15,16,18,21,25,28,30,36,37,38,42,47,48,49,53,54,60,62,67,68,75
2011-08-15,3,18,19,21,23,31,33,36,37,43,44,45,46,53,56,57,61,64,65,73,75,79
2011-08-18,2,3,14,15,25,28,29,34,36,42,46,47,53,56,62,65,67,69,72,73,76,77
2011-08-22,5,6,9,10,12,14,15,17,22,27,31,35,39,40,42,44,47,50,55,60,62,74
2011-08-25,3,5,12,20,21,22,24,31,32,34,36,37,38,43,46,49,57,58,59,68,73,79
2011-08-29,4,6,9,17,19,24,30,34,37,38,40,43,51,58,61,64,65,66,67,75,78,79
2011-09-01,2,3,6,12,16,21,22,28,30,33,34,39,41,45,53,54,58,60,62,64,71,77
2011-09-05,1,3,13,14,15,16,22,24,28,32,35,36,37,47,48,53,54,58,61,62,63,71
2011-09-08,3,8,9,14,15,16,19,29,32,34,35,48,57,58,59,63,68,71,73,74,78,79
2011-09-12,2,6,10,12,14,27,28,29,37,41,47,50,54,56,58,60,66,70,73,77,78,79
2011-09-15,1,3,6,8,12,15,21,22,25,26,29,39,43,50,51,52,53,54,59,74,75,79
2011-09-19,3,6,8,11,13,17,18,24,26,30,40,42,43,51,53,54,58,61,63,71,75,78
2011-09-22,3,6,12,13,22,27,29,35,37,42,43,46,47,49,50,51,62,65,70,71,75,80
2011-09-26,1,3,4,6,7,15,21,22,24,25,28,31,36,41,44,46,47,48,56,67,74,75
2011-09-29,8,18,23,25,27,28,29,34,37,47,52,56,58,59,66,67,70,72,75,76,78,80
2011-10-03,6,8,14,17,19,21,23,29,31,34,36,37,41,46,51,52,53,54,59,60,68,70
2011-10-06,1,3,6,17,20,21,30,33,35,38,43,44,49,53,55,56,57,58,64,66,76,77
2011-10-10,3,6,9,14,16,17,22,29,32,34,37,42,48,49,56,60,61,69,70,77,78,80
2011-10-13,1,10,14,21,22,24,27,28,33,34,36,42,49,50,51,57,58,59,68,70,72,75
2011-10-17,5,7,8,11,12,13,16,23,29,31,40,41,44,49,55,57,62,63,65,67,79,80
2011-10-20,7,9,12,14,29,30,31,32,35,46,54,57,62,64,67,71,72,73,75,77,79,80
2011-10-24,11,15,17,20,28,29,30,35,37,38,39,40,41,43,47,48,54,56,64,65,71,79
2011-10-27,7,9,19,20,21,23,24,27,28,32,33,36,44,49,50,57,61,67,71,74,77,79
2011-10-31,3,4,10,11,12,14,17,20,22,36,37,40,42,44,48,52,54,58,63,66,71,78
2011-11-03,2,6,9,10,14,17,20,23,26,35,37,38,39,47,53,56,63,64,68,69,78,79
2011-11-07,3,6,8,10,12,15,18,33,39,41,45,47,49,57,62,63,69,70,72,76,78,80
2011-11-10,1,9,10,17,27,28,31,37,38,41,44,47,49,51,52,53,61,64,69,72,73,79
2011-11-14,1,3,8,15,20,21,23,27,29,30,32,42,43,44,45,53,55,64,68,69,77,78
2011-11-17,2,6,8,10,19,21,22,24,27,28,32,33,35,42,44,45,47,50,53,74,75,76
2011-11-21,1,3,4,6,8,9,15,21,22,25,34,37,47,51,52,57,59,65,67,68,71,72
2011-11-24,4,10,14,17,20,22,25,29,31,43,46,48,54,56,59,62,64,67,68,70,73,76
2011-11-28,2,8,17,18,20,22,24,25,29,30,37,39,43,53,54,56,60,64,66,77,78,80
2011-12-01,2,12,13,16,18,20,25,28,29,32,37,46,48,49,56,59,60,61,63,69,75,80
2011-12-05,1,5,9,15,16,21,23,24,25,31,37,44,45,50,52,57,62,63,65,73,77,78
2011-12-08,3,7,9,10,16,18,24,31,33,34,44,46,49,53,54,59,60,63,64,65,76,77
2011-12-12,4,5,9,17,21,22,24,25,26,29,38,40,44,46,49,51,53,57,68,70,75,79
2011-12-15,1,4,6,8,10,14,23,32,33,38,40,41,42,46,50,51,54,61,64,66,77,80
2011-12-19,11,14,15,18,19,25,28,34,35,37,40,44,50,51,52,57,58,59,60,62,65,75
2011-12-22,8,12,13,17,18,20,21,25,28,35,41,44,47,50,52,60,61,63,65,68,75,77
2011-12-26,3,4,6,8,9,10,16,28,35,37,44,49,50,54,57,66,67,69,70,72,73,74
2011-12-29,11,15,19,25,29,30,31,34,38,49,52,55,58,59,60,61,62,63,64,71,78,79
2012-01-02,2,3,10,11,20,30,31,32,33,35,39,47,48,49,50,61,66,68,71,78,79,80
2012-01-05,6,9,12,14,16,17,18,21,26,34,36,37,41,53,54,58,59,67,68,69,70,78
2012-01-09,2,3,13,15,24,28,33,36,38,46,49,53,54,57,62,63,64,65,66,68,71,78
2012-01-12,1,7,11,14,15,22,25,26,33,35,37,40,46,52,56,62,66,68,71,75,76,80
2012-01-16,5,7,16,18,24,25,26,29,30,38,44,47,49,54,56,58,62,65,70,72,76,78
2012-01-19,4,6,8,10,12,17,21,23,31,36,38,40,47,51,52,55,57,61,64,66,76,80
2012-01-23,3,4,8,10,13,14,26,27,32,38,43,46,48,49,55,56,61,62,70,72,73,78
2012-01-26,1,3,11,12,18,21,22,24,33,34,35,36,37,40,41,47,53,57,60,68,78,80
2012-01-30,4,5,6,8,9,28,30,31,37,39,44,46,47,53,54,61,69,71,72,74,79,80
2012-02-02,7,12,13,15,20,25,27,34,36,40,42,47,51,52,53,54,56,58,59,70,74,79
2012-02-06,12,18,25,33,35,36,38,44,45,48,49,51,53,56,61,63,66,67,68,70,73,78
2012-02-09,1,8,13,14,17,23,28,32,33,37,40,42,44,45,51,52,55,58,60,65,75,80
2012-02-13,1,10,14,16,17,21,23,25,26,34,36,38,51,60,62,66,69,72,74,75,78,79
2012-02-16,1,2,3,9,12,15,17,33,35,36,44,46,48,53,56,60,61,70,75,76,77,79
2012-02-20,3,10,12,13,16,20,21,28,31,32,42,44,50,51,52,53,54,63,64,71,77,79
2012-02-23,1,9,17,24,25,27,29,36,40,42,43,49,50,53,59,60,61,67,71,75,78,79
2012-02-27,5,7,10,15,19,22,29,34,37,38,43,48,52,57,60,66,67,71,73,74,75,76
2012-03-01,8,12,21,24,25,27,29,30,31,35,36,38,39,41,44,46,54,55,56,60,69,70
2012-03-05,1,2,10,13,16,22,25,38,39,46,49,50,54,57,60,66,69,70,72,75,79,80
2012-03-08,2,5,7,9,12,14,16,20,22,24,31,33,35,37,38,44,49,50,54,60,68,79
2012-03-12,2,5,7,9,11,14,20,21,34,35,36,41,46,47,49,50,51,52,57,58,60,62
2012-03-15,4,6,8,9,21,24,26,27,28,38,39,40,41,43,45,48,49,50,58,60,63,79
